Soil.w	Location.w	Sub_site.w	subsite_id.w	state	gps_n	gps_w	altitude	Visibilty.w	Temp.w	soil_condition	Collection_date.w	Day.w	collection_time.w
1475	MLBS	C2-NW	not applicable	VA	37.37287	-80.51879	1190	sunny	warm	dry	18/06/18	169	17:30
1476	MLBS	C2-SE	not applicable	VA	37.37288	-80.5188	1193	sunny	warm	dry	18/06/18	169	18:30
1477	MLBS	A1-NW	not applicable	VA	37.37436	-80.52051	1178	sunny	warm	dry	18/06/18	169	13:30
1478	MLBS	A1-SE	not applicable	VA	37.37439	-80.52047	1178	sunny	warm	dry	18/06/18	169	14:30
1479	MLBS	A2-NW	not applicable	VA	37.37451	-80.52026	1175	sunny	warm	dry	18/06/18	169	15:30
1480	MLBS	A2-SE	not applicable	VA	37.37447	-80.52032	1175	sunny	warm	dry	18/06/18	169	16:30
1481	MLBS	A1	SE	VA	37.37436	-80.52051	1178	sunny	warm	average	5/07/18	186	10:30
1482	MLBS	A2	NW	VA	37.37439	-80.52047	1178	sunny	warm	average	5/07/18	186	10:30
1483	MLBS	A1	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	wet	6/10/18	279	12:51
1484	MLBS	A2	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	wet	6/10/18	279	12:55
1485	MLBS	B1	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	6/10/18	279	14:12
1486	MLBS	B2	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	6/10/18	279	14:15
1487	MLBS	C1	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	6/10/18	279	13:06
1488	MLBS	C2	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	6/10/18	279	13:11
1489	MLBS	D1	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	6/10/18	279	13:26
1490	MLBS	D2	not applicable	VA	not recorded	not recorded	not recorded	sunny	warm	average	6/10/18	279	13:31
1491	MLBS	A1	not applicable	VA	37.37439	80.52061	1105	thunderstorms	wet	wet	19/06/19	170	17:10
1492	MLBS	A2	not applicable	VA	37.37446	80.52033	1171	thunderstorms	wet	wet	19/06/19	170	17:10
1493	MLBS	C1	not applicable	VA	37.37284	80.51864	1209	sunny	warm	average	28/06/19	179	14:36
1494	MLBS	C2	not applicable	VA	37.37281	80.51868	1209	sunny	warm	average	28/06/19	179	14:41
1495	MLBS	D1	not applicable	VA	37.37735	80.52207	1177	sunny	warm	average	28/06/19	179	14:59
1496	MLBS	D2	not applicable	VA	37.37737	80.52214	1177	sunny	warm	average	28/06/19	179	15:01
1497	MLBS	B1	not applicable	VA	37.35364	80.53615	1120	overcast	warm	average	29/06/19	180	14:42
1498	MLBS	B2	not applicable	VA	37.35366	80.53619	1120	overcast	warm	average	29/06/19	180	14:42
1499	NHPA	24	not applicable	NH	not recorded	not recorded	not recorded	not	recorded	not recorded	11/07/19	192	15:06
1500	PAMD	1	not applicable	PA	39.78546	-79.17421	975	not	recorded	not recorded	17/07/19	198	not recorded
1501	PAMD	2	not applicable	PA	39.78546	-79.17421	975	not	recorded	not recorded	17/07/19	198	not recorded
1502	PAMD	4	not applicable	PA	39.78708	-79.17172	975	not	recorded	not recorded	17/07/19	198	not recorded
1503	MLBS	A1	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1504	MLBS	A2	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1505	MLBS	B1	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1506	MLBS	B2	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1507	MLBS	C1	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1508	MLBS	C2	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1509	MLBS	D1	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1510	MLBS	D2	not applicable	VA	not recorded	not recorded	not recorded	not	recorded	dry	29/07/20	211	not recorded
1511	MLBS	A1	not applicable	VA	37.37436	80.52039	1177	clear	warm	not recorded	9/09/22	252	12:04
1512	MLBS	A2	not applicable	VA	37.37446	80.52032	1179	clear	warm	not recorded	9/09/22	252	12:45
1513	MLBS	B1	not applicable	VA	not recorded	not recorded	not recorded	clear	warm	not recorded	9/09/22	252	15:57
1514	MLBS	B2	not applicable	VA	37.3536	80.53616	1253	clear	warm	not recorded	9/09/22	252	16:07
1515	MLBS	C1	not applicable	VA	37.37283	80.51868	1204	clear	warm	not recorded	9/09/22	252	14:00
1516	MLBS	C2	not applicable	VA	37.37286	80.51866	1205	clear	warm	not recorded	9/09/22	252	14:00
1517	MLBS	D1	not applicable	VA	37.37739	80.52207	1186	clear	warm	not recorded	9/09/22	252	17:41
1518	MLBS	D2	not applicable	VA	37.37733	80.52209	1186	clear	warm	not recorded	9/09/22	252	17:50
