Soil_sample	Site	Position	Location	Date	Day	Year	Time	Days_Since_Last_Rain	Visibility	Conditions	Temp
207	A6		MLBS	3/10/13	275	2013	11				
208	A6		MLBS	3/10/13	275	2013	11				
209	A6		MLBS	3/10/13	275	2013	11				
210	A6		MLBS	3/10/13	275	2013	11				
211			MLBS	13/06/13	163	2013	11.75				
212			MLBS	13/06/13	163	2013	11.75				
213			MLBS	13/06/13	163	2013	11.75				
214			MLBS	13/06/13	163	2013	11.75				
215			MLBS	13/06/13	163	2013	11.75				
216			MLBS	13/06/13	163	2013	11.75				
217			MLBS	13/06/13	163	2013	11.75				
218			MLBS	13/06/13	163	2013	11.75				
219			MLBS	13/06/13	163	2013	11.75				
220	D12		MLBS	3/10/13	275	2013	11.75				
221			MLBS	3/10/13	275	2013					
222			MLBS	3/10/13	275	2013					
223	A5		MLBS	3/10/13	275	2013	11				
224	A5		MLBS	3/10/13	275	2013	11				
225	A5		MLBS	3/10/13	275	2013	11				
226	A5		MLBS	3/10/13	275	2013	11				
227	A5		MLBS	3/10/13	275	2013	11				
228	A3		MLBS	3/10/13	275	2013	11				
229	A3		MLBS	3/10/13	275	2013	11				
230	A3		MLBS	3/10/13	275	2013	11				
231	A3		MLBS	3/10/13	275	2013	11				
232	A3		MLBS	3/10/13	275	2013	11				
233	C5		MLBS	3/10/13	275	2013	12.5				
234	C3		MLBS	3/10/13	275	2013	12.5				
235	C4		MLBS	3/10/13	275	2013	12.5				
236	C6		MLBS	3/10/13	275	2013	12.5				
237	C9		MLBS	3/10/13	275	2013	12.5				
238	C7		MLBS	3/10/13	275	2013	12.5				
239	C8		MLBS	3/10/13	275	2013	12.5				
240	C10		MLBS	3/10/13	275	2013	12.5				
241	M8		MLBS	3/10/13	275	2013	12.5				
242	M7		MLBS	3/10/13	275	2013	12.5				
243			MLBS	3/10/13	275	2013	14				
244			MLBS	3/10/13	275	2013	14				
245			MLBS	3/10/13	275	2013	14				
246			MLBS	3/10/13	275	2013	14				
247			MLBS	3/10/13	275	2013	14				
248			MLBS	3/10/13	275	2013	14				
249			MLBS	3/10/13	275	2013	14				
250			MLBS	3/10/13	275	2013	14				
251			MLBS	3/10/13	275	2013	14				
252	D15		MLBS	3/10/13	275	2013	14				
253	M1		MLBS	4/10/13	276	2013	10				
254	M1		MLBS	4/10/13	276	2013	10				
255	M1		MLBS	4/10/13	276	2013	10				
256	M1		MLBS	4/10/13	276	2013	10				
257	M1		MLBS	4/10/13	276	2013	10				
258	M2		MLBS	4/10/13	276	2013	10				
259	M2		MLBS	4/10/13	276	2013	10				
260	M2		MLBS	4/10/13	276	2013	10				
261	M2		MLBS	4/10/13	276	2013	10				
262	M2		MLBS	4/10/13	276	2013	10				
263	M3		MLBS	4/10/13	276	2013	10				
264	M3		MLBS	4/10/13	276	2013	10				
265	M3		MLBS	4/10/13	276	2013	10				
266	M3		MLBS	4/10/13	276	2013	10				
267	M3		MLBS	4/10/13	276	2013	10				
268	M4		MLBS	4/10/13	276	2013	10				
269	M4		MLBS	4/10/13	276	2013	10				
270	M4		MLBS	4/10/13	276	2013	10				
271	M4		MLBS	4/10/13	276	2013	10				
272	M4		MLBS	4/10/13	276	2013	10				
273	M5		MLBS	4/10/13	276	2013	10				
274	M5		MLBS	4/10/13	276	2013	10				
275	M5		MLBS	4/10/13	276	2013	10				
276	M5		MLBS	4/10/13	276	2013	10				
277	M5		MLBS	4/10/13	276	2013	10				
278	D16		MLBS	4/10/13	276	2013	14				
279	D16		MLBS	4/10/13	276	2013	14				
280	D16		MLBS	4/10/13	276	2013	14				
281	D16		MLBS	4/10/13	276	2013	14				
282	D16		MLBS	4/10/13	276	2013	14				
283	D15		MLBS	4/10/13	276	2013	14				
284	D15		MLBS	4/10/13	276	2013	14				
285	D15		MLBS	4/10/13	276	2013	14				
286	D15		MLBS	4/10/13	276	2013	14				
287	D15		MLBS	4/10/13	276	2013	14				
288	D18		MLBS	4/10/13	276	2013	14				
289	D18		MLBS	4/10/13	276	2013	14				
290	D18		MLBS	4/10/13	276	2013	14				
291	D17		MLBS	4/10/13	276	2013	14				
292	D17		MLBS	4/10/13	276	2013	14				
293	D17		MLBS	4/10/13	276	2013	14				
294	B		MLBS	30/05/14	149	2014					
295	B		MLBS	30/05/14	149	2014					
296	B		MLBS	30/05/14	149	2014					
297	B		MLBS	30/05/14	149	2014					
298	C4		MLBS	30/05/14	149	2014					
299	C5		MLBS	30/05/14	149	2014					
300	C6		MLBS	30/05/14	149	2014					
301	C8		MLBS	30/05/14	149	2014					
302	C9		MLBS	30/05/14	149	2014					
303	C3		MLBS	30/05/14	149	2014					
304	C10		MLBS	30/05/14	149	2014					
305	C11		MLBS	30/05/14	149	2014					
306	C12		MLBS	30/05/14	149	2014					
307	C7		MLBS	30/05/14	149	2014					
308	D3		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
309	D4		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
310	D5		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
311	D6		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
312	D7		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
313	D8		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
314	D9		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
315	D10		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
316	D11		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
317	D12		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
318	D13		MLBS	1/06/14	151	2014		2	Clear	Dry	Warm
319	A4		MLBS	2/06/14	152	2014	16.5	3			
320	A4		MLBS	2/06/14	152	2014	16.5	3			
321	A4		MLBS	2/06/14	152	2014	16.5	3			
322	A4		MLBS	2/06/14	152	2014	16.5	3			
323	A4		MLBS	2/06/14	152	2014	16.5	3			
324	A3		MLBS	2/06/14	152	2014	16.5	3			
325	A3		MLBS	2/06/14	152	2014	16.5	3			
326	A3		MLBS	2/06/14	152	2014	16.5	3			
327	A3		MLBS	2/06/14	152	2014	16.5	3			
328	A3		MLBS	2/06/14	152	2014	16.5	3			
329	A5		MLBS	3/06/14	153	2014	11.5	4			
330	A5		MLBS	3/06/14	153	2014	11.5	4			
331	A5		MLBS	3/06/14	153	2014	11.5	4			
332	A5		MLBS	3/06/14	153	2014	11.5	4			
333	A5		MLBS	3/06/14	153	2014	11.5	4			
334	A6		MLBS	3/06/14	153	2014	11.5	4			
335	A6		MLBS	3/06/14	153	2014	11.5	4			
336	A6		MLBS	3/06/14	153	2014	11.5	4			
337	A6		MLBS	3/06/14	153	2014	11.5	4			
338	A6		MLBS	3/06/14	153	2014	11.5	4			
339	D14		MLBS	3/06/14	153	2014		4			
340	D14		MLBS	3/06/14	153	2014		4			
341	D14		MLBS	3/06/14	153	2014		4			
342	D14		MLBS	3/06/14	153	2014		4			
343	D14		MLBS	3/06/14	153	2014		4			
344	D15		MLBS	3/06/14	153	2014		4			
345	D15		MLBS	3/06/14	153	2014		4			
346	D15		MLBS	3/06/14	153	2014		4			
347	D15		MLBS	3/06/14	153	2014		4			
348	D15		MLBS	3/06/14	153	2014		4			
349	D16		MLBS	4/06/14	154	2014	10.5	5			
350	D16		MLBS	4/06/14	154	2014	10.5	5			
351	D16		MLBS	4/06/14	154	2014	10.5	5			
352	D16		MLBS	4/06/14	154	2014	10.5	5			
353	D16		MLBS	4/06/14	154	2014	10.5	5			
354	D17		MLBS	4/06/14	154	2014	10.5	5			
355	D17		MLBS	4/06/14	154	2014	10.5	5			
356	D17		MLBS	4/06/14	154	2014	10.5	5			
357	D18		MLBS	4/06/14	154	2014	10.5	5			
358	D18		MLBS	4/06/14	154	2014	10.5	5			
359	D18		MLBS	4/06/14	154	2014	10.5	5			
360	M1		MLBS	5/06/14	155	2014	11				
361	M1		MLBS	5/06/14	155	2014	11				
362	M1		MLBS	5/06/14	155	2014	11				
363	M1		MLBS	5/06/14	155	2014	11				
364	M1		MLBS	5/06/14	155	2014	11				
365	M2		MLBS	5/06/14	155	2014	11				
366	M2		MLBS	5/06/14	155	2014	11				
367	M2		MLBS	5/06/14	155	2014	11				
368	M2		MLBS	5/06/14	155	2014	11				
369	M2		MLBS	5/06/14	155	2014	11				
370	M3		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
371	M3		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
372	M3		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
373	M3		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
374	M3		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
375	M4		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
376	M4		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
377	M4		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
378	M4		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
379	M4		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
380	M5		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
381	M5		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
382	M5		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
383	M5		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
384	M5		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
385	M6		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
386	M6		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
387	M6		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
388	M6		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
389	M6		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
390	M7		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
391	M7		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
392	M7		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
393	M7		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
394	M7		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
