Soil	Collection_date		Day	Time	gps_n	gps+w	Altitude	5 day rainfall															
158	2013-06-12	2013-01-01	162	14:30:00	37.37441	-80.52028	3866																
159	2013-06-12	2013-01-01	162	14:30:00	37.37441	-80.52028	3866																
160	2013-06-12	2013-01-01	162	14:30:00	37.37441	-80.52028	3866																
161	2013-06-12	2013-01-01	162	14:30:00	37.3745	-80.52035	3890																
162	2013-06-12	2013-01-01	162	14:30:00	37.3745	-80.52035	3890																
163	2013-06-12	2013-01-01	162	14:30:00	37.3745	-80.52035	3890																
164	2013-06-12	2013-01-01	162	14:30:00	37.3745	-80.52035	3890																
165	2013-06-12	2013-01-01	162	14:30:00	37.3745	-80.52035	3890																
166	2013-06-12	2013-01-01	162	17:30:00	37.3773	-80.52195	3806																
167	2013-06-12	2013-01-01	162	17:30:00	37.3773	-80.52195	3806																
168	2013-06-12	2013-01-01	162	17:30:00	37.3773	-80.52195	3806																
169	2013-06-12	2013-01-01	162	17:30:00	37.3773	-80.52195	3806																
170	2013-06-12	2013-01-01	162	17:30:00	37.3773	-80.52195	3806																
171	2013-06-12	2013-01-01	162	17:30:00	37.37736	-80.52191	3847																
172	2013-06-12	2013-01-01	162	17:30:00	37.37736	-80.52191	3847																
173	2013-06-12	2013-01-01	162	17:30:00	37.37736	-80.52191	3847																
174	2013-06-12	2013-01-01	162	17:30:00	37.37736	-80.52191	3847																
175	2013-06-12	2013-01-01	162	17:30:00	37.37736	-80.52191	3847																
176	2013-06-12	2013-01-01	162	19:00:00	37.3773	-80.52185	3894																
177	2013-06-12	2013-01-01	162	19:00:00	37.3773	-80.52185	3894																
178	2013-06-12	2013-01-01	162	19:00:00	37.3773	-80.52185	3894																
179	2013-06-12	2013-01-01	162	19:00:00	37.3773	-80.52185	3894																
180	2013-06-12	2013-01-01	162	19:00:00	37.3773	-80.52185	3894																
181	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
182	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
183	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
184	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
185	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
186	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
187	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
188	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
189	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
190	2013-06-13	2013-01-01	163	9:00:00	37.37291	-80.5183	3975																
191	2013-06-13	2013-01-01	163		37.37293	-80.51859	4006																
192	2013-06-13	2013-01-01	163		37.37293	-80.51859	4006																
193	2013-06-13	2013-01-01	163		37.37293	-80.51859	4006																
194	2013-06-13	2013-01-01	163		37.37293	-80.51859	4006																
195	2013-06-13	2013-01-01	163		37.37293	-80.51859	4006																
196	2013-06-13	2013-01-01	163		37.37276	-80.51868	3988																
197	2013-06-13	2013-01-01	163		37.37276	-80.51868	3988																
198	2013-06-13	2013-01-01	163		37.37276	-80.51868	3988																
199	2013-06-13	2013-01-01	163		37.37276	-80.51868	3988																
200	2013-06-13	2013-01-01	163		37.37276	-80.51868	3988																
201	2013-06-13	2013-01-01	163		37.37236	-80.51849	3945																
202	2013-06-13	2013-01-01	163		37.37236	-80.51849	3945																
203	2013-06-13	2013-01-01	163		37.37236	-80.51849	3945																
204	2013-06-13	2013-01-01	163		37.37236	-80.51849	3945																
205	2013-06-13	2013-01-01	163		37.37236	-80.51849	3945																
206	2013-10-03	2013-01-01	275	11:00:00	37.37426	-80.52048	3876																
207	2013-10-03	2013-01-01	275	11:00:00	37.37426	-80.52048	3876																
208	2013-10-03	2013-01-01	275	11:00:00	37.37426	-80.52048	3876																
209	2013-10-03	2013-01-01	275	11:00:00	37.37426	-80.52048	3876																
210	2013-10-03	2013-01-01	275	11:00:00	37.37426	-80.52048	3876																
211	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
212	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
213	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
214	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
215	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
216	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
217	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
218	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
219	2013-06-13	2013-01-01	163	11:45:00	37.37741	-80.52197	3946																
220	2013-03-10	2013-01-01	68	11:45:00	37.37741	-80.52197	3946																
221	2013-03-10	2013-01-01	68			0																	
222	2013-03-10	2013-01-01	68			0																	
223	2013-10-03	2013-01-01	275	11:00:00	37.37435	-80.52197	3897																
224	2013-10-03	2013-01-01	275	11:00:00	37.37435	-80.52197	3897																
225	2013-10-03	2013-01-01	275	11:00:00	37.37435	-80.52197	3897																
226	2013-10-03	2013-01-01	275	11:00:00	37.37435	-80.52197	3897																
227	2013-10-03	2013-01-01	275	11:00:00	37.37435	-80.52197	3897																
228	2013-10-03	2013-01-01	275	11:00:00	37.37445	-80.5204	3898																
229	2013-10-03	2013-01-01	275	11:00:00	37.37445	-80.5204	3898																
230	2013-10-03	2013-01-01	275	11:00:00	37.37445	-80.5204	3898																
231	2013-10-03	2013-01-01	275	11:00:00	37.37445	-80.5204	3898																
232	2013-10-03	2013-01-01	275	11:00:00	37.37445	-80.5204	3898																
233	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
234	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
235	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
236	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
237	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
238	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
239	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
240	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
241	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
242	2013-10-03	2013-01-01	275	12:30:00	37.37289	-80.51875	3936																
243	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
244	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
245	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
246	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
247	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
248	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
249	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
250	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
251	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
252	2013-10-03	2013-01-01	275	14:00:00	37.37737	-80.52193	3858																
253	2013-10-04	2013-01-01	276	10:00:00		0																	
254	2013-10-04	2013-01-01	276	10:00:00		0																	
255	2013-10-04	2013-01-01	276	10:00:00		0																	
256	2013-10-04	2013-01-01	276	10:00:00		0																	
257	2013-10-04	2013-01-01	276	10:00:00		0																	
258	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.52064	3864																
259	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.52064	3864																
260	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.52064	3864																
261	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.52064	3864																
262	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.52064	3864																
263	2013-10-04	2013-01-01	276	10:00:00	37.37381	-80.52038	3854																
264	2013-10-04	2013-01-01	276	10:00:00	37.37381	-80.52038	3854																
265	2013-10-04	2013-01-01	276	10:00:00	37.37381	-80.52038	3854																
266	2013-10-04	2013-01-01	276	10:00:00	37.37381	-80.52038	3854																
267	2013-10-04	2013-01-01	276	10:00:00	37.37381	-80.52038	3854																
268	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.5201	3871																
269	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.5201	3871																
270	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.5201	3871																
271	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.5201	3871																
272	2013-10-04	2013-01-01	276	10:00:00	37.37382	-80.5201	3871																
273	2013-10-04	2013-01-01	276	10:00:00	37.37378	-80.5198	3911																
274	2013-10-04	2013-01-01	276	10:00:00	37.37378	-80.5198	3911																
275	2013-10-04	2013-01-01	276	10:00:00	37.37378	-80.5198	3911																
276	2013-10-04	2013-01-01	276	10:00:00	37.37378	-80.5198	3911																
277	2013-10-04	2013-01-01	276	10:00:00	37.37378	-80.5198	3911																
278	2013-10-04	2013-01-01	276	14:00:00	37.37729	-80.52181	3831																
279	2013-10-04	2013-01-01	276	14:00:00	37.37729	-80.52181	3831																
280	2013-10-04	2013-01-01	276	14:00:00	37.37729	-80.52181	3831																
281	2013-10-04	2013-01-01	276	14:00:00	37.37729	-80.52181	3831																
282	2013-10-04	2013-01-01	276	14:00:00	37.37729	-80.52181	3831																
283	2013-10-04	2013-01-01	276	14:00:00	37.37738	-80.52181	3847																
284	2013-10-04	2013-01-01	276	14:00:00	37.37738	-80.52181	3847																
285	2013-10-04	2013-01-01	276	14:00:00	37.37738	-80.52181	3847																
286	2013-10-04	2013-01-01	276	14:00:00	37.37738	-80.52181	3847																
287	2013-10-04	2013-01-01	276	14:00:00	37.37738	-80.52181	3847																
288	2013-10-04	2013-01-01	276	14:00:00	37.37764	-80.52197	3823																
289	2013-10-04	2013-01-01	276	14:00:00	37.37764	-80.52197	3823																
290	2013-10-04	2013-01-01	276	14:00:00	37.37764	-80.52197	3823																
291	2013-10-04	2013-01-01	276	14:00:00	37.37788	-80.52197	3859																
292	2013-10-04	2013-01-01	276	14:00:00	37.37788	-80.52197	3859																
293	2013-10-04	2013-01-01	276	14:00:00	37.37788	-80.52197	3859																
294	2014-05-30	2014-01-01	149		37.3536	-80.53615		14.224															
295	2014-05-30	2014-01-01	149		37.35358333	-80.53613333		14.224															
296	2014-05-30	2014-01-01	149		37.35356667	-80.5362		14.224															
297	2014-05-30	2014-01-01	149		37.35356667	-80.53625		14.224															
298	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
299	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
300	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
301	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
302	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
303	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
304	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
305	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
306	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
307	2014-05-30	2014-01-01	149		37.37298333	-80.5186		14.224															
308	2014-06-01	2014-01-01	151		0	0		14.224															
309	2014-06-01	2014-01-01	151		0	0		14.224															
310	2014-06-01	2014-01-01	151		0	0		14.224															
311	2014-06-01	2014-01-01	151		0	0		14.224															
312	2014-06-01	2014-01-01	151		0	0		14.224															
313	2014-06-01	2014-01-01	151		0	0		14.224															
314	2014-06-01	2014-01-01	151		0	0		14.224															
315	2014-06-01	2014-01-01	151		0	0		14.224															
316	2014-06-01	2014-01-01	151		0	0		14.224															
317	2014-06-01	2014-01-01	151		0	0		14.224															
318	2014-06-01	2014-01-01	151		0	0		14.224															
319	2014-06-02	2014-01-01	152	16:30:00	37.3745	-80.5203		14.224															
320	2014-06-02	2014-01-01	152	16:30:00	37.3745	-80.5203		14.224															
321	2014-06-02	2014-01-01	152	16:30:00	37.3745	-80.5203		14.224															
322	2014-06-02	2014-01-01	152	16:30:00	37.3745	-80.5203		14.224															
323	2014-06-02	2014-01-01	152	16:30:00	37.3745	-80.5203		14.224															
324	2014-06-02	2014-01-01	152	16:30:00	37.37445	-80.52035		14.224															
325	2014-06-02	2014-01-01	152	16:30:00	37.37445	-80.52035		14.224															
326	2014-06-02	2014-01-01	152	16:30:00	37.37445	-80.52035		14.224															
327	2014-06-02	2014-01-01	152	16:30:00	37.37445	-80.52035		14.224															
328	2014-06-02	2014-01-01	152	16:30:00	37.37445	-80.52035		14.224															
329	2014-06-03	2014-01-01	153	23:30:00	37.37438333	-80.52048333		14.224															
